trait	fam	size	corr
345	Acoustic_Mean_Pressure_BLUP	GaPL	90	0.503740030815873
346	Acoustic_Mean_Pressure_BLUP	GaPL	100	0.508005028739215
347	Acoustic_Mean_Pressure_BLUP	GaPL	110	0.645025601576003
348	Acoustic_Mean_Pressure_BLUP	GaPL	120	0.654564082349082
349	Acoustic_Mean_Pressure_BLUP	GaPL	130	0.65895906828892
350	Acoustic_Mean_Pressure_BLUP	GaPL	140	0.627175296227404
351	Acoustic_Mean_Pressure_BLUP	GaPL	150	0.626943946164666
352	Acoustic_Mean_Pressure_BLUP	GaPL	160	0.748377340729719
353	Acoustic_Mean_Pressure_BLUP	GaPL	170	0.589893132093494
354	Acoustic_Mean_Pressure_BLUP	GaPL	180	0.656055366291122
355	Acoustic_Mean_Pressure_BLUP	GaPL	190	0.628449276700825
356	Acoustic_Mean_Pressure_BLUP	GaPL	200	0.57706123978512
357	Acoustic_Mean_Pressure_BLUP	GaPL	210	0.600917577252979
358	Acoustic_Mean_Pressure_BLUP	GDFj	10	-0.191444878598206
359	Acoustic_Mean_Pressure_BLUP	GDFj	20	-0.107883673893683
360	Acoustic_Mean_Pressure_BLUP	GDFj	30	-0.272481485573686
361	Acoustic_Mean_Pressure_BLUP	GDFj	40	-0.278876984856938
362	Acoustic_Mean_Pressure_BLUP	GDFj	50	-0.184930137720669
363	Acoustic_Mean_Pressure_BLUP	GDFj	60	-0.220586913683253
364	Acoustic_Mean_Pressure_BLUP	GDFj	70	-0.19172924355639
365	Acoustic_Mean_Pressure_BLUP	GDFj	80	-0.314751328443294
366	Acoustic_Mean_Pressure_BLUP	GDFj	90	-0.314876533767451
367	Acoustic_Mean_Pressure_BLUP	GDFj	100	-0.262744573578239
368	Acoustic_Mean_Pressure_BLUP	GDFj	110	-0.256898613728927
369	Acoustic_Mean_Pressure_BLUP	GDFj	120	-0.298684368845551
370	Acoustic_Mean_Pressure_BLUP	GDFj	130	-0.254312893457981
371	Acoustic_Mean_Pressure_BLUP	GDFj	140	-0.173967666420493
372	Acoustic_Mean_Pressure_BLUP	GDFj	150	-0.159621042150206
373	Acoustic_Mean_Pressure_BLUP	GDFj	160	-0.0687036464325449
374	Acoustic_Mean_Pressure_BLUP	GDFj	170	-0.16425307707237
375	Acoustic_Mean_Pressure_BLUP	GDFj	180	-0.127177760449901
376	Acoustic_Mean_Pressure_BLUP	GDFj	190	-0.106932532287428
377	Acoustic_Mean_Pressure_BLUP	GDFj	200	-0.134459817125772
378	Acoustic_Mean_Pressure_BLUP	GDFj	210	-0.149442665264984
